"TOA5","BIOLOGGER","BIOLOGGER","0","BIOLOGGER","BIOLOGGER","0","Tags"
"TIMESTAMP","RECORD","Tag"
"TS","RN",""
"","","Smp"
"2018-09-13 17:03:27",69,"TAG: 01 04 07/02/2018 16:50:43.790 3DD.003BF926C4"
"2018-09-13 17:03:27",70,"TAG: 01 04 07/02/2018 16:51:43.400 3DD.003BF926C4"
"2018-09-13 17:03:27",71,"TAG: 01 04 07/02/2018 16:52:43.140 3DD.003BF926C4"
"2018-09-13 17:03:27",72,"TAG: 01 04 07/02/2018 16:53:43.220 3DD.003BF926C4"
"2018-09-13 17:03:27",73,"TAG: 01 04 07/02/2018 16:54:43.360 3DD.003BF926C4"
"2018-09-13 17:03:27",74,"TAG: 01 04 07/02/2018 16:55:43.710 3DD.003BF926C4"
"2018-09-13 17:03:27",75,"TAG: 01 04 07/02/2018 16:56:43.230 3DD.003BF926C4"
"2018-09-13 17:03:27",76,"TAG: 01 04 07/02/2018 16:57:43.200 3DD.003BF926C4"
"2018-09-13 17:03:27",77,"TAG: 01 03 07/02/2018 16:58:39.110 3E7.0000001D03"
"2018-09-13 17:03:27",78,"TAG: 01 02 07/02/2018 16:58:39.740 3E7.0000001D02"
"2018-09-13 17:03:27",79,"TAG: 01 04 07/02/2018 16:58:43.080 3DD.003BF926C4"
"2018-09-13 17:03:27",80,"TAG: 01 04 07/02/2018 16:59:43.070 3DD.003BF926C4"
"2018-09-13 17:03:28",81,"TAG: 01 04 07/02/2018 17:00:43.150 3DD.003BF926C4"
"2018-09-13 17:03:28",82,"TAG: 01 04 07/02/2018 17:01:43.180 3DD.003BF926C4"
"2018-09-13 17:03:28",83,"TAG: 01 04 07/02/2018 17:02:43.040 3DD.003BF926C4"
"2018-09-13 17:03:28",84,"TAG: 01 04 07/02/2018 17:03:43.090 3DD.003BF926C4"
"2018-09-13 17:03:28",85,"TAG: 01 04 07/02/2018 17:04:43.870 3DD.003BF926C4"
"2018-09-13 17:03:28",86,"TAG: 01 04 07/02/2018 17:05:43.020 3DD.003BF926C4"
"2018-09-13 17:03:28",87,"TAG: 01 04 07/02/2018 17:06:43.240 3DD.003BF926C4"
"2018-09-13 17:03:28",88,"TAG: 01 04 07/02/2018 17:07:43.080 3DD.003BF926C4"
"2018-09-13 17:03:28",89,"TAG: 01 04 07/02/2018 17:08:43.170 3DD.003BF926C4"
"2018-09-13 17:03:28",90,"TAG: 01 04 07/02/2018 17:09:44.130 3DD.003BF926C4"
"2018-09-13 17:03:28",91,"TAG: 01 04 07/02/2018 17:10:44.650 3DD.003BF926C4"
"2018-09-13 17:03:28",92,"TAG: 01 04 07/02/2018 17:11:44.670 3DD.003BF926C4"
"2018-09-13 17:03:28",93,"TAG: 01 04 07/02/2018 17:12:44.250 3DD.003BF926C4"
"2018-09-13 17:03:28",94,"TAG: 01 04 07/02/2018 17:13:44.410 3DD.003BF926C4"
"2018-09-13 17:03:28",95,"TAG: 01 04 07/02/2018 17:14:44.270 3DD.003BF926C4"
"2018-09-13 17:03:28",96,"TAG: 01 04 07/02/2018 17:15:44.210 3DD.003BF926C4"
"2018-09-13 17:03:28",97,"TAG: 01 04 07/02/2018 17:16:44.200 3DD.003BF926C4"
"2018-09-13 17:03:28",98,"TAG: 01 04 07/02/2018 17:17:44.000 3DD.003BF926C4"
"2018-09-13 17:03:28",99,"TAG: 01 04 07/02/2018 17:18:44.330 3DD.003BF926C4"
"2018-09-13 17:03:28",100,"TAG: 01 04 07/02/2018 17:19:44.290 3DD.003BF926C4"
"2018-09-13 17:03:28",101,"TAG: 01 04 07/02/2018 17:20:44.150 3DD.003BF926C4"
"2018-09-13 17:03:28",102,"TAG: 01 04 07/02/2018 17:21:44.330 3DD.003BF926C4"
"2018-09-13 17:03:29",103,"TAG: 01 04 07/02/2018 17:22:44.340 3DD.003BF926C4"
"2018-09-13 17:03:29",104,"TAG: 01 04 07/02/2018 17:23:44.000 3DD.003BF926C4"
"2018-09-13 17:03:29",105,"TAG: 01 04 07/02/2018 17:24:44.170 3DD.003BF926C4"
"2018-09-13 17:03:29",106,"TAG: 01 04 07/02/2018 17:25:44.130 3DD.003BF926C4"
"2018-09-13 17:03:29",107,"TAG: 01 04 07/02/2018 17:26:44.390 3DD.003BF926C4"
"2018-09-13 17:03:29",108,"TAG: 01 04 07/02/2018 17:27:44.140 3DD.003BF926C4"
"2018-09-13 17:03:29",109,"TAG: 01 04 07/02/2018 17:28:44.130 3DD.003BF926C4"
"2018-09-13 17:03:29",110,"TAG: 01 04 07/02/2018 17:29:44.200 3DD.003BF926C4"
"2018-09-13 17:03:29",111,"TAG: 01 04 07/02/2018 17:30:44.760 3DD.003BF926C4"
"2018-09-13 17:03:29",112,"TAG: 01 04 07/02/2018 17:31:44.090 3DD.003BF926C4"
"2018-09-13 17:03:29",113,"TAG: 01 04 07/02/2018 17:32:45.410 3DD.003BF926C4"
"2018-09-13 17:03:29",114,"TAG: 01 04 07/02/2018 17:33:45.180 3DD.003BF926C4"
"2018-09-13 17:03:29",115,"TAG: 01 04 07/02/2018 17:34:45.010 3DD.003BF926C4"
"2018-09-13 17:03:29",116,"TAG: 01 04 07/02/2018 17:35:45.630 3DD.003BF926C4"
"2018-09-13 17:03:29",117,"TAG: 01 04 07/02/2018 17:36:45.120 3DD.003BF926C4"
"2018-09-13 17:03:29",118,"TAG: 01 04 07/02/2018 17:37:45.260 3DD.003BF926C4"
"2018-09-13 17:03:29",119,"TAG: 01 04 07/02/2018 17:38:45.000 3DD.003BF926C4"
"2018-09-13 17:03:29",120,"TAG: 01 04 07/02/2018 17:39:45.060 3DD.003BF926C4"
"2018-09-13 17:03:29",121,"TAG: 01 04 07/02/2018 17:40:45.860 3DD.003BF926C4"
"2018-09-13 17:03:29",122,"TAG: 01 04 07/02/2018 17:41:45.200 3DD.003BF926C4"
"2018-09-13 17:03:29",123,"TAG: 01 04 07/02/2018 17:42:45.060 3DD.003BF926C4"
"2018-09-13 17:03:29",124,"TAG: 01 04 07/02/2018 17:43:45.340 3DD.003BF926C4"
"2018-09-13 17:03:29",125,"TAG: 01 04 07/02/2018 17:44:45.320 3DD.003BF926C4"
"2018-09-13 17:03:29",126,"TAG: 01 04 07/02/2018 17:45:45.270 3DD.003BF926C4"
"2018-09-13 17:03:29",127,"TAG: 01 04 07/02/2018 17:46:45.300 3DD.003BF926C4"
"2018-09-13 17:03:29",128,"TAG: 01 04 07/02/2018 17:47:45.340 3DD.003BF926C4"
"2018-09-13 17:03:29",129,"TAG: 01 04 07/02/2018 17:48:45.310 3DD.003BF926C4"
"2018-09-13 17:03:29",130,"TAG: 01 04 07/02/2018 17:49:45.040 3DD.003BF926C4"
"2018-09-13 17:03:29",131,"TAG: 01 04 07/02/2018 17:50:45.380 3DD.003BF926C4"
"2018-09-13 17:03:29",132,"TAG: 01 04 07/02/2018 17:51:45.720 3DD.003BF926C4"
"2018-09-13 17:03:29",133,"TAG: 01 04 07/02/2018 17:52:45.090 3DD.003BF926C4"
"2018-09-13 17:03:29",134,"TAG: 01 04 07/02/2018 17:53:45.020 3DD.003BF926C4"
"2018-09-13 17:03:29",135,"TAG: 01 04 07/02/2018 17:54:45.530 3DD.003BF926C4"
"2018-09-13 17:03:29",136,"TAG: 01 04 07/02/2018 17:55:45.320 3DD.003BF926C4"
"2018-09-13 17:03:29",137,"TAG: 01 04 07/02/2018 17:56:45.740 3DD.003BF926C4"
"2018-09-13 17:03:29",138,"TAG: 01 04 07/02/2018 17:57:45.510 3DD.003BF926C4"
"2018-09-13 17:03:29",139,"TAG: 01 01 07/02/2018 17:58:39.110 3E7.0000001D01"
"2018-09-13 17:03:29",140,"TAG: 01 03 07/02/2018 17:58:39.340 3E7.0000001D03"
